match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2
2021-ausopen-MS306,2021,ausopen,1306,G Dimitrov,P Carreno Busta,,,,,,,,,,
2021-ausopen-MS307,2021,ausopen,1307,D Shapovalov,F Auger-Aliassime,,,,,,,,,,
2021-ausopen-MS308,2021,ausopen,1308,A Karatsev,D Schwartzman,,,,,,,,,,
2021-ausopen-MS309,2021,ausopen,1309,A Rublev,F Lopez,,,,,,,,,,
2021-ausopen-MS310,2021,ausopen,1310,C Ruud,R Albot,,,,,,,,,,
2021-ausopen-MS311,2021,ausopen,1311,L Harris,M Mcdonald,,,,,,,,,,
2021-ausopen-MS312,2021,ausopen,1312,F Krajinovic,D Medvedev,,,,,,,,,,
2021-ausopen-MS313,2021,ausopen,1313,S Tsitsipas,M Ymer,,,,,,,,,,
2021-ausopen-MS314,2021,ausopen,1314,K Khachanov,M Berrettini,,,,,,,,,,
2021-ausopen-MS315,2021,ausopen,1315,F Fognini,A De Minaur,,,,,,,,,,
2021-ausopen-MS316,2021,ausopen,1316,C Norrie,R Nadal,,,,,,,,,,
2021-ausopen-MS401,2021,ausopen,1401,N Djokovic,M Raonic,,,,,,,,,,
2021-ausopen-MS402,2021,ausopen,1402,D Lajovic,A Zverev,,,,,,,,,,
2021-ausopen-MS403,2021,ausopen,1403,D Thiem,G Dimitrov,,,,,,,,,,
2021-ausopen-MS404,2021,ausopen,1404,F Auger-Aliassime,A Karatsev,,,,,,,,,,
2021-ausopen-MS405,2021,ausopen,1405,A Rublev,C Ruud,,,,,,,,,,
2021-ausopen-MS406,2021,ausopen,1406,M Mcdonald,D Medvedev,,,,,,,,,,
2021-ausopen-MS407,2021,ausopen,1407,S Tsitsipas,M Berrettini,,,,,,,,,,
2021-ausopen-MS408,2021,ausopen,1408,F Fognini,R Nadal,,,,,,,,,,
2021-ausopen-MS501,2021,ausopen,1501,N Djokovic,A Zverev,,,,,,,,,,
2021-ausopen-MS502,2021,ausopen,1502,G Dimitrov,A Karatsev,,,,,,,,,,
2021-ausopen-MS503,2021,ausopen,1503,A Rublev,D Medvedev,,,,,,,,,,
2021-ausopen-MS504,2021,ausopen,1504,S Tsitsipas,R Nadal,,,,,,,,,,
2021-ausopen-MS601,2021,ausopen,1601,N Djokovic,A Karatsev,,,,,,,,,,
2021-ausopen-MS602,2021,ausopen,1602,D Medvedev,S Tsitsipas,,,,,,,,,,
2021-ausopen-MS701,2021,ausopen,1701,N Djokovic,D Medvedev,,,,,,,,,,
2021-ausopen-WS101,2021,ausopen,2101,A Barty,D Kovinic,,,,,,,,,,
2021-ausopen-WS102,2021,ausopen,2102,S Sorribes Tormo,D Gavrilova,,,,,,,,,,
2021-ausopen-WS103,2021,ausopen,2103,S Zheng,B Krejcikova,,,,,,,,,,
2021-ausopen-WS104,2021,ausopen,2104,M Trevisan,E Alexandrova,,,,,,,,,,
2021-ausopen-WS105,2021,ausopen,2105,A Kontaveit,A Sasnovich,,,,,,,,,,
2021-ausopen-WS106,2021,ausopen,2106,Kr Pliskova,H Watson,,,,,,,,,,
2021-ausopen-WS107,2021,ausopen,2107,F Jones,S Rogers,,,,,,,,,,
