WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Azarenka V.,Krueger A.,26,244,1841,264,6,1,4,6,6,2,2,1,Completed,1.11,6.5,1.12,7.15,1.18,7.5,1.11,6.59
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Collins D.,Osaka N.,19,44,2167,1187,7,6,6,3,,,2,0,Completed,2.5,1.53,2.48,1.6,2.5,1.67,2.38,1.58
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,1st Round,3,Alexandrova E.,Stearns P.,28,332,1750,180,6,4,4,6,7,5,2,1,Completed,1.12,6,1.17,5.77,1.18,7,1.14,5.83
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Rogers S.,Kuzmova V.,31,183,1516,352,7,5,6,1,,,2,0,Completed,1.2,4.5,1.23,4.68,1.24,4.85,1.21,4.5
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Jabeur O.,Mandlik E.,5,144,3920,437,7,5,6,2,,,2,0,Completed,1.16,5,1.19,5.25,1.23,6,1.18,4.86
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Wang Xiy.,Sakkari M.,75,3,842,4190,3,6,7,5,7,5,2,1,Completed,4.33,1.22,4.81,1.22,4.85,1.25,4.4,1.21
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Riske A.,Osorio M.,29,70,1525,866,6,4,6,7,7,6,2,1,Completed,1.53,2.5,1.54,2.62,1.55,2.79,1.51,2.57
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Zhang S.,Schmiedlova A.,36,115,1360,543,7,5,6,1,,,2,0,Completed,1.36,3.2,1.26,4.29,1.36,4.29,1.31,3.49
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Keys M.,Giorgi C.,20,67,2128,894,6,4,5,7,7,6,2,1,Completed,1.44,2.75,1.48,2.82,1.5,2.97,1.45,2.76
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Marino R.,Snigur D.,106,124,603,503,6,3,7,6,,,2,0,Completed,1.53,2.5,1.64,2.38,1.68,2.56,1.59,2.37
43,New York,US Open,31/08/2022,Grand Slam,Outdoor,Hard,2nd Round,3,Kudermetova V.,Zanevska M.,18,97,2206,650,6,2,6,3,,,2,0,Completed,1.2,4.5,1.19,5.21,1.22,5.5,1.18,4.85
